smallest so far: (474883, 1.002946220389957)
new smallest: (783169, 1.0022690159662961)

palindrome totients:

(21, 12, True, 1.75)
(63, 36, True, 1.75)
(291, 192, True, 1.515625)
(502, 250, True, 2.008)
(2518, 1258, True, 2.001589825119237)
(2817, 1872, True, 1.5048076923076923)
(2991, 1992, True, 1.5015060240963856)
(4435, 3544, True, 1.2514108352144468)
(5229, 2952, True, 1.771341463414634)
(5367, 3576, True, 1.5008389261744965)
(5637, 3756, True, 1.5007987220447285)
(6102, 2016, True, 3.0267857142857144)
(6174, 1764, True, 3.5)
(6543, 4356, True, 1.5020661157024793)
(6822, 2268, True, 3.007936507936508)
(7236, 2376, True, 3.0454545454545454)
(7422, 2472, True, 3.0024271844660193)
(8022, 2280, True, 3.518421052631579)
(8541, 5184, True, 1.6475694444444444)
(8982, 2988, True, 3.0060240963855422)
(17631, 11736, True, 1.5023006134969326)
(18231, 11832, True, 1.5408215010141988)
(18261, 12168, True, 1.5007396449704142)
(20301, 13200, True, 1.5379545454545454)
(20518, 10258, True, 2.000194969779684)
(20617, 20176, True, 1.0218576526566217)
(21058, 10528, True, 2.0001899696048633)
(22471, 21472, True, 1.0465257078986587)
(22851, 15228, True, 1.5005910165484633)
(25196, 12596, True, 2.0003175611305175)
(25918, 12958, True, 2.000154344806297)
(27615, 12576, True, 2.1958492366412212)
(29817, 19872, True, 1.5004528985507246)
(34816, 16384, True, 2.125)
(35683, 33568, True, 1.0630064346997141)
(43218, 12348, True, 3.5)
(44305, 35440, True, 1.2501410835214446)
(45126, 14256, True, 3.16540404040404)
(45421, 44512, True, 1.0204214593817398)
(46818, 14688, True, 3.1875)
(49435, 39544, True, 1.2501264414323285)
(50824, 25408, True, 2.000314861460957)
(51363, 31536, True, 1.6287100456621004)
(51606, 16560, True, 3.116304347826087)
(52164, 14256, True, 3.659090909090909)
(53967, 35976, True, 1.5000833889259506)
(54693, 35496, True, 1.5408215010141988)
(56937, 37956, True, 1.5000790388871326)
(59002, 29500, True, 2.0000677966101694)
(59184, 19584, True, 3.0220588235294117)
(60903, 39600, True, 1.5379545454545454)
(62118, 16128, True, 3.8515625)
(63072, 20736, True, 3.0416666666666665)
(65163, 35616, True, 1.8295990566037736)
(67045, 45760, True, 1.4651442307692308)
